case,customer_id,mode,open_hr,close_hr,window_hr,service_hr,service_min,service_start_hr,service_start_readable,within_window,assignment_detail
7-25,1,truck,0.25,6.25,"[0.25, 6.25]",0.25,15.0,0.25,0.25h (0h15m),yes,truck 1: visit 1
7-25,2,truck,11.13,17.13,"[11.13, 17.13]",0.25,15.0,11.13,11.13h (11h08m),yes,truck 1: visit 2
7-25,3,truck,12.67,18.67,"[12.67, 18.67]",0.25,15.0,12.67,12.67h (12h40m),yes,truck 1: visit 3
7-25,4,robot,0.3,6.3,"[0.30, 6.30]",0.25,15.0,0.5800000000000001,0.58h (0h35m),yes,robot 1: 1 -> 5 -> 4 -> 7 -> 6 (truck 1->1)
7-25,5,robot,0.27,6.27,"[0.27, 6.27]",0.25,15.0,0.29,0.29h (0h17m),yes,robot 1: 1 -> 5 -> 4 -> 7 -> 6 (truck 1->1)
7-25,6,truck,9.58,15.58,"[9.58, 15.58]",0.08,4.8,9.58,9.58h (9h35m),yes,truck 1: visit 6
7-25,7,robot,8.03,14.03,"[8.03, 14.03]",0.08,4.8,8.03,8.03h (8h02m),yes,robot 1: 1 -> 5 -> 4 -> 7 -> 6 (truck 1->1)
7-50,1,robot,3.71,5.71,"[3.71, 5.71]",0.25,15.0,3.71,3.71h (3h43m),yes,robot 1: 5 -> 3 -> 1 -> 4 -> 2 (truck 1->1)
7-50,2,truck,3.19,5.19,"[3.19, 5.19]",0.25,15.0,4.34,4.34h (4h20m),yes,truck 1: visit 2
7-50,3,robot,2.68,4.68,"[2.68, 4.68]",0.25,15.0,2.68,2.68h (2h41m),yes,robot 1: 5 -> 3 -> 1 -> 4 -> 2 (truck 1->1)
7-50,4,robot,4.22,6.22,"[4.22, 6.22]",0.08,4.8,4.22,4.22h (4h13m),yes,robot 1: 5 -> 3 -> 1 -> 4 -> 2 (truck 1->1)
7-50,5,truck,0.1,2.1,"[0.10, 2.10]",0.08,4.8,0.1333333333,0.13h (0h08m),yes,truck 1: visit 5
7-50,6,truck,0.09,2.09,"[0.09, 2.09]",0.08,4.8,0.33777777774,0.34h (0h20m),yes,truck 1: visit 6
7-50,7,truck,0.08,2.08,"[0.08, 2.08]",0.08,4.8,0.23555555552,0.24h (0h14m),yes,truck 1: visit 7
7-75,1,truck,0.27,6.27,"[0.27, 6.27]",0.25,15.0,0.27,0.27h (0h16m),yes,truck 1: visit 1
7-75,2,truck,11.13,17.13,"[11.13, 17.13]",0.25,15.0,11.13,11.13h (11h08m),yes,truck 1: visit 2
7-75,3,drone,12.67,18.67,"[12.67, 18.67]",0.08,4.8,12.67,12.67h (12h40m),yes,drone 1: 4 -> 5 -> 7 -> 3 -> 8 (truck 1->1)
7-75,4,truck,0.3,6.3,"[0.30, 6.30]",0.08,4.8,0.54222222222,0.54h (0h33m),yes,truck 1: visit 4
7-75,5,drone,0.25,6.25,"[0.25, 6.25]",0.08,4.8,0.5555555545500723,0.56h (0h33m),yes,drone 1: 4 -> 5 -> 7 -> 3 -> 8 (truck 1->1)
7-75,6,truck,8.03,14.03,"[8.03, 14.03]",0.08,4.8,11.42444444444,11.42h (11h25m),yes,truck 1: visit 6
7-75,7,drone,9.58,15.58,"[9.58, 15.58]",0.08,4.8,9.58,9.58h (9h35m),yes,drone 1: 4 -> 5 -> 7 -> 3 -> 8 (truck 1->1)
8-25,1,truck,12.67,18.67,"[12.67, 18.67]",0.25,15.0,12.67,12.67h (12h40m),yes,truck 1: visit 1
8-25,2,truck,0.27,6.27,"[0.27, 6.27]",0.25,15.0,0.52222222222,0.52h (0h31m),yes,truck 1: visit 2
8-25,3,truck,0.25,6.25,"[0.25, 6.25]",0.25,15.0,0.25,0.25h (0h15m),yes,truck 1: visit 3
8-25,4,truck,11.13,17.13,"[11.13, 17.13]",0.25,15.0,11.13,11.13h (11h08m),yes,truck 1: visit 4
8-25,5,truck,1.83,7.83,"[1.83, 7.83]",0.25,15.0,1.83,1.83h (1h50m),yes,truck 1: visit 5
8-25,6,truck,0.3,6.3,"[0.30, 6.30]",0.25,15.0,0.7944444444400001,0.79h (0h48m),yes,truck 1: visit 6
8-25,7,truck,8.03,14.03,"[8.03, 14.03]",0.08,4.8,8.03,8.03h (8h02m),yes,truck 1: visit 7
8-25,8,truck,9.58,15.58,"[9.58, 15.58]",0.08,4.8,9.58,9.58h (9h35m),yes,truck 1: visit 8
8-50,1,truck,1.83,7.83,"[1.83, 7.83]",0.25,15.0,1.83,1.83h (1h50m),yes,truck 1: visit 1
8-50,2,truck,0.3,6.3,"[0.30, 6.30]",0.25,15.0,0.62444444444,0.62h (0h37m),yes,truck 1: visit 2
8-50,3,truck,0.27,6.27,"[0.27, 6.27]",0.25,15.0,0.35222222222,0.35h (0h21m),yes,truck 1: visit 3
8-50,4,truck,8.03,14.03,"[8.03, 14.03]",0.25,15.0,8.03,8.03h (8h02m),yes,truck 1: visit 4
8-50,5,truck,12.67,18.67,"[12.67, 18.67]",0.08,4.8,12.67,12.67h (12h40m),yes,truck 1: visit 5
8-50,6,truck,11.13,17.13,"[11.13, 17.13]",0.08,4.8,11.13,11.13h (11h08m),yes,truck 1: visit 6
8-50,7,truck,0.25,6.25,"[0.25, 6.25]",0.08,4.8,0.25,0.25h (0h15m),yes,truck 1: visit 7
8-50,8,truck,9.58,15.58,"[9.58, 15.58]",0.08,4.8,9.58,9.58h (9h35m),yes,truck 1: visit 8
8-75,1,truck,0.3,6.3,"[0.30, 6.30]",0.25,15.0,0.37222222222,0.37h (0h22m),yes,truck 2: visit 1
8-75,2,truck,0.25,6.25,"[0.25, 6.25]",0.25,15.0,0.64444444444,0.64h (0h39m),yes,truck 2: visit 2
8-75,3,drone,11.13,17.13,"[11.13, 17.13]",0.08,4.8,11.13,11.13h (11h08m),yes,drone 1: 7 -> 4 -> 3 -> 8 -> 9 (truck 2->2)
8-75,4,drone,9.58,15.58,"[9.58, 15.58]",0.08,4.8,9.58,9.58h (9h35m),yes,drone 1: 7 -> 4 -> 3 -> 8 -> 9 (truck 2->2)
8-75,5,robot,1.83,7.83,"[1.83, 7.83]",0.08,4.8,1.83,1.83h (1h50m),yes,robot 1: 0 -> 5 -> 6 -> 9 (truck 2->2)
8-75,6,robot,8.03,14.03,"[8.03, 14.03]",0.08,4.8,8.03,8.03h (8h02m),yes,robot 1: 0 -> 5 -> 6 -> 9 (truck 2->2)
8-75,7,truck,0.27,6.27,"[0.27, 6.27]",0.08,4.8,0.27,0.27h (0h16m),yes,truck 2: visit 7
8-75,8,drone,12.67,18.67,"[12.67, 18.67]",0.08,4.8,12.67,12.67h (12h40m),yes,drone 1: 7 -> 4 -> 3 -> 8 -> 9 (truck 2->2)
9-25,1,truck,15.2,26.2,"[15.20, 26.20]",0.25,15.0,15.2,15.20h (15h12m),yes,truck 5: visit 1
9-25,2,truck,4.0,18.6,"[4.00, 18.60]",0.25,15.0,15.53888888889,15.54h (15h32m),yes,truck 5: visit 2
9-25,3,drone,15.0,24.8,"[15.00, 24.80]",0.25,15.0,15.0,15.00h (15h00m),yes,drone 2: 0 -> 9 -> 3 -> 2 (truck 5->5)
9-25,4,truck,24.6,36.8,"[24.60, 36.80]",0.25,15.0,24.6,24.60h (24h36m),yes,truck 5: visit 4
9-25,5,truck,19.6,28.6,"[19.60, 28.60]",0.25,15.0,25.05,25.05h (25h03m),yes,truck 5: visit 5
9-25,6,truck,4.4,17.4,"[4.40, 17.40]",0.25,15.0,16.03333333329,16.03h (16h02m),yes,truck 5: visit 6
9-25,7,truck,14.8,25.8,"[14.80, 25.80]",0.25,15.0,25.4111111111,25.41h (25h25m),yes,truck 5: visit 7
9-25,8,drone,26.6,39.6,"[26.60, 39.60]",0.08,4.8,26.6,26.60h (26h36m),yes,drone 1: 7 -> 8 -> 10 (truck 5->5)
9-25,9,drone,12.2,22.0,"[12.20, 22.00]",0.08,4.8,12.2,12.20h (12h12m),yes,drone 2: 0 -> 9 -> 3 -> 2 (truck 5->5)
9-50,1,truck,7.15,11.83,"[7.15, 11.83]",0.25,15.0,7.15,7.15h (7h09m),yes,truck 1: visit 1
9-50,2,truck,12.6,15.65,"[12.60, 15.65]",0.25,15.0,12.6,12.60h (12h36m),yes,truck 1: visit 2
9-50,3,truck,2.5,7.15,"[2.50, 7.15]",0.25,15.0,2.5,2.50h (2h30m),yes,truck 1: visit 3
9-50,4,truck,10.72,14.43,"[10.72, 14.43]",0.25,15.0,10.72,10.72h (10h43m),yes,truck 1: visit 4
9-50,5,robot,0.27,5.6,"[0.27, 5.60]",0.08,4.8,2.7,2.70h (2h42m),yes,robot 1: 3 -> 9 -> 5 -> 8 -> 4 (truck 1->1)
9-50,6,truck,13.83,17.48,"[13.83, 17.48]",0.08,4.8,13.83,13.83h (13h50m),yes,truck 1: visit 6
9-50,7,truck,8.32,13.73,"[8.32, 13.73]",0.08,4.8,8.32,8.32h (8h19m),yes,truck 1: visit 7
9-50,8,robot,0.25,3.77,"[0.25, 3.77]",0.08,4.8,2.82,2.82h (2h49m),yes,robot 1: 3 -> 9 -> 5 -> 8 -> 4 (truck 1->1)
9-50,9,robot,1.45,5.13,"[1.45, 5.13]",0.08,4.8,2.58,2.58h (2h35m),yes,robot 1: 3 -> 9 -> 5 -> 8 -> 4 (truck 1->1)
9-75,1,truck,12.6,15.65,"[12.60, 15.65]",0.25,15.0,12.6,12.60h (12h36m),yes,truck 1: visit 1
9-75,2,robot,7.15,11.83,"[7.15, 11.83]",0.25,15.0,7.15,7.15h (7h09m),yes,robot 1: 7 -> 3 -> 4 -> 2 -> 5 (truck 1->1)
9-75,3,robot,0.27,5.6,"[0.27, 5.60]",0.08,4.8,1.490000000000728,1.49h (1h29m),yes,robot 1: 7 -> 3 -> 4 -> 2 -> 5 (truck 1->1)
9-75,4,robot,2.5,7.15,"[2.50, 7.15]",0.08,4.8,2.5,2.50h (2h30m),yes,robot 1: 7 -> 3 -> 4 -> 2 -> 5 (truck 1->1)
9-75,5,truck,8.32,13.73,"[8.32, 13.73]",0.08,4.8,8.32,8.32h (8h19m),yes,truck 1: visit 5
9-75,6,truck,10.72,14.43,"[10.72, 14.43]",0.08,4.8,10.72,10.72h (10h43m),yes,truck 1: visit 6
9-75,7,truck,1.45,5.13,"[1.45, 5.13]",0.08,4.8,1.45,1.45h (1h27m),yes,truck 1: visit 7
9-75,8,truck,0.25,3.77,"[0.25, 3.77]",0.08,4.8,0.25,0.25h (0h15m),yes,truck 1: visit 8
9-75,9,truck,13.83,17.48,"[13.83, 17.48]",0.08,4.8,13.83,13.83h (13h50m),yes,truck 1: visit 9
10-25,1,truck,1.0,4.65,"[1.00, 4.65]",0.25,15.0,1.0,1.00h (1h00m),yes,truck 5: visit 1
10-25,2,truck,6.65,9.9,"[6.65, 9.90]",0.25,15.0,6.813333333300001,6.81h (6h49m),yes,truck 5: visit 2
10-25,3,truck,1.1,4.35,"[1.10, 4.35]",0.25,15.0,4.2277777778,4.23h (4h14m),yes,truck 5: visit 3
10-25,4,robot,3.7,6.45,"[3.70, 6.45]",0.25,15.0,3.7,3.70h (3h42m),yes,robot 2: 0 -> 4 -> 10 (truck 5->5)
10-25,5,truck,6.15,9.2,"[6.15, 9.20]",0.25,15.0,6.15,6.15h (6h09m),yes,truck 5: visit 5
10-25,6,drone,3.05,5.5,"[3.05, 5.50]",0.25,15.0,3.91,3.91h (3h55m),yes,drone 1: 1 -> 9 -> 6 -> 11 (truck 5->5)
10-25,7,truck,3.8,6.55,"[3.80, 6.55]",0.25,15.0,3.8,3.80h (3h48m),yes,truck 5: visit 7
10-25,8,robot,5.35,7.5,"[5.35, 7.50]",0.08,4.8,7.433333333301853,7.43h (7h26m),yes,robot 1: 2 -> 8 -> 11 (truck 5->5)
10-25,9,drone,3.75,6.2,"[3.75, 6.20]",0.08,4.8,3.75,3.75h (3h45m),yes,drone 1: 1 -> 9 -> 6 -> 11 (truck 5->5)
10-25,10,truck,4.9,7.15,"[4.90, 7.15]",0.08,4.8,6.600000000000001,6.60h (6h36m),yes,truck 5: visit 10
10-50,1,truck,2.9,3.9,"[2.90, 3.90]",0.25,15.0,3.8988888889,3.90h (3h54m),yes,truck 2: visit 1
10-50,2,truck,2.83,3.83,"[2.83, 3.83]",0.25,15.0,2.83,2.83h (2h50m),yes,truck 2: visit 2
10-50,3,truck,0.0,6.8,"[0.00, 6.80]",0.25,15.0,5.043333333300001,5.04h (5h03m),yes,truck 2: visit 3
10-50,4,truck,0.0,6.63,"[0.00, 6.63]",0.25,15.0,0.71555555559,0.72h (0h43m),yes,truck 2: visit 4
10-50,5,truck,0.0,6.47,"[0.00, 6.47]",0.25,15.0,3.4488888889,3.45h (3h27m),yes,truck 2: visit 5
10-50,6,truck,0.0,6.73,"[0.00, 6.73]",0.08,4.8,0.2888888889,0.29h (0h17m),yes,truck 2: visit 6
10-50,7,truck,0.0,6.6,"[0.00, 6.60]",0.08,4.8,3.2133333333,3.21h (3h13m),yes,truck 2: visit 7
10-50,8,truck,0.0,6.57,"[0.00, 6.57]",0.08,4.8,4.83,4.83h (4h50m),yes,truck 2: visit 8
10-50,9,drone,4.63,5.63,"[4.63, 5.63]",0.08,4.8,4.63,4.63h (4h38m),yes,drone 1: 6 -> 9 -> 8 (truck 2->2)
10-50,10,truck,0.0,6.93,"[0.00, 6.93]",0.08,4.8,0.5466666667,0.55h (0h33m),yes,truck 2: visit 10
10-75,1,truck,16.7,25.7,"[16.70, 25.70]",0.25,15.0,16.7,16.70h (16h42m),yes,truck 1: visit 1
10-75,2,robot,2.75,11.75,"[2.75, 11.75]",0.25,15.0,5.180000000000364,5.18h (5h11m),yes,robot 1: 4 -> 2 -> 6 -> 8 -> 9 (truck 1->1)
10-75,3,truck,19.0,28.0,"[19.00, 28.00]",0.08,4.8,19.0,19.00h (19h00m),yes,truck 1: visit 3
10-75,4,truck,5.1,14.1,"[5.10, 14.10]",0.08,4.8,5.1,5.10h (5h06m),yes,truck 1: visit 4
10-75,5,truck,0.38,9.38,"[0.38, 9.38]",0.08,4.8,5.42888888888,5.43h (5h26m),yes,truck 1: visit 5
10-75,6,robot,9.75,18.75,"[9.75, 18.75]",0.08,4.8,9.75,9.75h (9h45m),yes,robot 1: 4 -> 2 -> 6 -> 8 -> 9 (truck 1->1)
10-75,7,truck,0.4,9.4,"[0.40, 9.40]",0.08,4.8,5.32666666666,5.33h (5h20m),yes,truck 1: visit 7
10-75,8,robot,12.05,21.05,"[12.05, 21.05]",0.08,4.8,12.05,12.05h (12h03m),yes,robot 1: 4 -> 2 -> 6 -> 8 -> 9 (truck 1->1)
10-75,9,truck,14.38,23.38,"[14.38, 23.38]",0.08,4.8,14.38,14.38h (14h23m),yes,truck 1: visit 9
10-75,10,truck,0.45,9.45,"[0.45, 9.45]",0.08,4.8,5.22444444444,5.22h (5h13m),yes,truck 1: visit 10
11-50,1,truck,1.0,4.65,"[1.00, 4.65]",0.25,15.0,3.91,3.91h (3h55m),yes,truck 1: visit 1
11-50,2,drone,1.1,4.35,"[1.10, 4.35]",0.25,15.0,4.150000000029854,4.15h (4h09m),yes,drone 1: 1 -> 7 -> 2 -> 6 (truck 1->1)
11-50,3,truck,3.7,6.45,"[3.70, 6.45]",0.25,15.0,5.2611111111,5.26h (5h16m),yes,truck 1: visit 3
11-50,4,truck,4.9,7.15,"[4.90, 7.15]",0.25,15.0,4.9,4.90h (4h54m),yes,truck 1: visit 4
11-50,5,robot,5.35,7.5,"[5.35, 7.50]",0.25,15.0,5.35,5.35h (5h21m),yes,robot 1: 11 -> 5 -> 12 (truck 1->1)
11-50,6,truck,6.15,9.2,"[6.15, 9.20]",0.08,4.8,6.15,6.15h (6h09m),yes,truck 1: visit 6
11-50,7,drone,3.8,6.55,"[3.80, 6.55]",0.08,4.8,3.963333333329854,3.96h (3h58m),yes,drone 1: 1 -> 7 -> 2 -> 6 (truck 1->1)
11-50,8,drone,3.75,6.2,"[3.75, 6.20]",0.08,4.8,3.75,3.75h (3h45m),yes,drone 2: 9 -> 8 -> 1 (truck 1->1)
11-50,9,truck,3.05,5.5,"[3.05, 5.50]",0.08,4.8,3.05,3.05h (3h03m),yes,truck 1: visit 9
11-50,10,truck,6.65,9.9,"[6.65, 9.90]",0.08,4.8,6.65,6.65h (6h39m),yes,truck 1: visit 10
11-50,11,truck,2.1,5.05,"[2.10, 5.05]",0.08,4.8,3.2411111111,3.24h (3h14m),yes,truck 1: visit 11
11-75,1,truck,0.0,20.4,"[0.00, 20.40]",0.25,15.0,0.02222222222,0.02h (0h01m),yes,truck 2: visit 1
11-75,2,truck,0.0,20.8,"[0.00, 20.80]",0.25,15.0,9.4166666667,9.42h (9h25m),yes,truck 2: visit 2
11-75,3,truck,0.0,19.4,"[0.00, 19.40]",0.25,15.0,8.899999999999999,8.90h (8h54m),yes,truck 2: visit 3
11-75,4,robot,5.7,8.7,"[5.70, 8.70]",0.08,4.8,5.7,5.70h (5h42m),yes,robot 1: 10 -> 4 -> 3 (truck 2->2)
11-75,5,truck,13.9,16.9,"[13.90, 16.90]",0.08,4.8,13.9,13.90h (13h54m),yes,truck 2: visit 5
11-75,6,drone,0.0,19.9,"[0.00, 19.90]",0.08,4.8,8.66,8.66h (8h40m),yes,drone 1: 10 -> 8 -> 6 -> 2 (truck 2->2)
11-75,7,drone,0.0,19.7,"[0.00, 19.70]",0.08,4.8,0.1022222212218988,0.10h (0h06m),yes,drone 2: 1 -> 7 -> 9 -> 3 (truck 2->2)
11-75,8,drone,8.5,11.5,"[8.50, 11.50]",0.08,4.8,8.5,8.50h (8h30m),yes,drone 1: 10 -> 8 -> 6 -> 2 (truck 2->2)
11-75,9,drone,8.7,11.7,"[8.70, 11.70]",0.08,4.8,8.7,8.70h (8h42m),yes,drone 2: 1 -> 7 -> 9 -> 3 (truck 2->2)
11-75,10,truck,0.0,19.8,"[0.00, 19.80]",0.08,4.8,0.45000000002,0.45h (0h27m),yes,truck 2: visit 10
11-75,11,truck,0.0,20.2,"[0.00, 20.20]",0.08,4.8,9.844444444499999,9.84h (9h51m),yes,truck 2: visit 11
